specimen	original_order	reagent_status	tissue_type	vendor	shipment	duration	mouse	IL1a	IL4	IL17	TNFa	log_IL1a	log_IL4	log_IL17	log_TNFa
control_isolat_XXXXXXX_XXX_XX_09	212	control	isolat	XXXXXXX	XXX	XX	9								
tissue__cecum__Jackson_JX1_D1_01	213	tissue	cecum	Jackson	JX1	D1	1	164	60	25	47	2.214843848	1.77815125	1.397940009	1.672097858
tissue__cecum__Jackson_JX1_D1_02	214	tissue	cecum	Jackson	JX1	D1	2	150	127	58	54	2.176091259	2.103803721	1.763427994	1.73239376
tissue__cecum__Jackson_JX1_D1_03	215	tissue	cecum	Jackson	JX1	D1	3	154	80	41	55	2.187520721	1.903089987	1.612783857	1.740362689
tissue__cecum__Jackson_JX1_D1_04	216	tissue	cecum	Jackson	JX1	D1	4	174	86	40	50	2.240549248	1.934498451	1.602059991	1.698970004
tissue__cecum__Jackson_JX1_D1_05	217	tissue	cecum	Jackson	JX1	D1	5	64	36	24	46	1.806179974	1.556302501	1.380211242	1.662757832
tissue__cecum__Jackson_JX1_D1_06	218	tissue	cecum	Jackson	JX1	D1	6	83	80	48	87	1.919078092	1.903089987	1.681241237	1.939519253
tissue__cecum__Jackson_JX1_D1_07	219	tissue	cecum	Jackson	JX1	D1	7								
control_homog__XXXXXXX_XXX_D1_05	220	control	homog	XXXXXXX	XXX	D1	5								
tissue__lung___Jackson_JX1_D1_01	221	tissue	lung	Jackson	JX1	D1	1	164	60	25	47	2.214843848	1.77815125	1.397940009	1.672097858
tissue__lung___Jackson_JX1_D1_02	222	tissue	lung	Jackson	JX1	D1	2	150	127	58	54	2.176091259	2.103803721	1.763427994	1.73239376
tissue__lung___Jackson_JX1_D1_03	223	tissue	lung	Jackson	JX1	D1	3	154	80	41	55	2.187520721	1.903089987	1.612783857	1.740362689
tissue__lung___Jackson_JX1_D1_04	224	tissue	lung	Jackson	JX1	D1	4	174	86	40	50	2.240549248	1.934498451	1.602059991	1.698970004
tissue__lung___Jackson_JX1_D1_05	225	tissue	lung	Jackson	JX1	D1	5	64	36	24	46	1.806179974	1.556302501	1.380211242	1.662757832
tissue__lung___Jackson_JX1_D1_06	226	tissue	lung	Jackson	JX1	D1	6	83	80	48	87	1.919078092	1.903089987	1.681241237	1.939519253
tissue__lung___Jackson_JX1_D1_07	227	tissue	lung	Jackson	JX1	D1	7								
tissue__tongue_Jackson_JX1_D1_01	228	tissue	tongue	Jackson	JX1	D1	1	164	60	25	47	2.214843848	1.77815125	1.397940009	1.672097858
tissue__tongue_Jackson_JX1_D1_02	229	tissue	tongue	Jackson	JX1	D1	2	150	127	58	54	2.176091259	2.103803721	1.763427994	1.73239376
tissue__tongue_Jackson_JX1_D1_03	230	tissue	tongue	Jackson	JX1	D1	3	154	80	41	55	2.187520721	1.903089987	1.612783857	1.740362689
tissue__tongue_Jackson_JX1_D1_04	231	tissue	tongue	Jackson	JX1	D1	4	174	86	40	50	2.240549248	1.934498451	1.602059991	1.698970004
tissue__tongue_Jackson_JX1_D1_05	232	tissue	tongue	Jackson	JX1	D1	5	64	36	24	46	1.806179974	1.556302501	1.380211242	1.662757832
tissue__tongue_Jackson_JX1_D1_06	233	tissue	tongue	Jackson	JX1	D1	6	83	80	48	87	1.919078092	1.903089987	1.681241237	1.939519253
tissue__tongue_Jackson_JX1_D1_07	234	tissue	tongue	Jackson	JX1	D1	7								
tissue__cecum__Jackson_JX1_D2_01	235	tissue	cecum	Jackson	JX1	D2	1	213	78	49	55	2.328379603	1.892094603	1.69019608	1.740362689
tissue__cecum__Jackson_JX1_D2_02	236	tissue	cecum	Jackson	JX1	D2	2	141	60	37	40	2.149219113	1.77815125	1.568201724	1.602059991
tissue__cecum__Jackson_JX1_D2_03	237	tissue	cecum	Jackson	JX1	D2	3	157	151	64	65	2.195899652	2.178976947	1.806179974	1.812913357
tissue__cecum__Jackson_JX1_D2_04	238	tissue	cecum	Jackson	JX1	D2	4	99	66	51	67	1.995635195	1.819543936	1.707570176	1.826074803
tissue__cecum__Jackson_JX1_D2_05	239	tissue	cecum	Jackson	JX1	D2	5	133	68	44	80	2.123851641	1.832508913	1.643452676	1.903089987
tissue__cecum__Jackson_JX1_D2_06	240	tissue	cecum	Jackson	JX1	D2	6	97	107	55	89	1.986771734	2.029383778	1.740362689	1.949390007
tissue__cecum__Jackson_JX1_D2_07	241	tissue	cecum	Jackson	JX1	D2	7	122	73	48	70	2.086359831	1.86332286	1.681241237	1.84509804
control_homog__XXXXXXX_XXX_D2_06	242	control	homog	XXXXXXX	XXX	D2	6								
tissue__lung___Jackson_JX1_D2_01	243	tissue	lung	Jackson	JX1	D2	1	213	78	49	55	2.328379603	1.892094603	1.69019608	1.740362689
tissue__lung___Jackson_JX1_D2_02	244	tissue	lung	Jackson	JX1	D2	2	141	60	37	40	2.149219113	1.77815125	1.568201724	1.602059991
tissue__lung___Jackson_JX1_D2_03	245	tissue	lung	Jackson	JX1	D2	3	157	151	64	65	2.195899652	2.178976947	1.806179974	1.812913357
tissue__lung___Jackson_JX1_D2_04	246	tissue	lung	Jackson	JX1	D2	4	99	66	51	67	1.995635195	1.819543936	1.707570176	1.826074803
tissue__lung___Jackson_JX1_D2_05	247	tissue	lung	Jackson	JX1	D2	5	133	68	44	80	2.123851641	1.832508913	1.643452676	1.903089987
tissue__lung___Jackson_JX1_D2_06	248	tissue	lung	Jackson	JX1	D2	6	97	107	55	89	1.986771734	2.029383778	1.740362689	1.949390007
tissue__lung___Jackson_JX1_D2_07	249	tissue	lung	Jackson	JX1	D2	7	122	73	48	70	2.086359831	1.86332286	1.681241237	1.84509804
tissue__tongue_Jackson_JX1_D2_01	250	tissue	tongue	Jackson	JX1	D2	1	213	78	49	55	2.328379603	1.892094603	1.69019608	1.740362689
tissue__tongue_Jackson_JX1_D2_02	251	tissue	tongue	Jackson	JX1	D2	2	141	60	37	40	2.149219113	1.77815125	1.568201724	1.602059991
tissue__tongue_Jackson_JX1_D2_03	252	tissue	tongue	Jackson	JX1	D2	3	157	151	64	65	2.195899652	2.178976947	1.806179974	1.812913357
tissue__tongue_Jackson_JX1_D2_04	253	tissue	tongue	Jackson	JX1	D2	4	99	66	51	67	1.995635195	1.819543936	1.707570176	1.826074803
tissue__tongue_Jackson_JX1_D2_05	254	tissue	tongue	Jackson	JX1	D2	5	133	68	44	80	2.123851641	1.832508913	1.643452676	1.903089987
tissue__tongue_Jackson_JX1_D2_06	255	tissue	tongue	Jackson	JX1	D2	6	97	107	55	89	1.986771734	2.029383778	1.740362689	1.949390007
tissue__tongue_Jackson_JX1_D2_07	256	tissue	tongue	Jackson	JX1	D2	7	122	73	48	70	2.086359831	1.86332286	1.681241237	1.84509804
tissue__cecum__Jackson_JX2_D1_01	257	tissue	cecum	Jackson	JX2	D1	1	197	42	29	38	2.294466226	1.62324929	1.462397998	1.579783597
tissue__cecum__Jackson_JX2_D1_02	258	tissue	cecum	Jackson	JX2	D1	2	225	67	39	45	2.352182518	1.826074803	1.591064607	1.653212514
tissue__cecum__Jackson_JX2_D1_03	259	tissue	cecum	Jackson	JX2	D1	3	230	60	37	44	2.361727836	1.77815125	1.568201724	1.643452676
tissue__cecum__Jackson_JX2_D1_04	260	tissue	cecum	Jackson	JX2	D1	4	167	81	48	55	2.222716471	1.908485019	1.681241237	1.740362689
tissue__cecum__Jackson_JX2_D1_05	261	tissue	cecum	Jackson	JX2	D1	5	69	61	44	65	1.838849091	1.785329835	1.643452676	1.812913357
tissue__cecum__Jackson_JX2_D1_06	262	tissue	cecum	Jackson	JX2	D1	6	100	101	60	81	2	2.004321374	1.77815125	1.908485019
tissue__cecum__Jackson_JX2_D1_07	263	tissue	cecum	Jackson	JX2	D1	7	90	52	49	75	1.954242509	1.716003344	1.69019608	1.875061263
control_homog__Jackson_JX2_D1_07	264	control	homog	Jackson	JX2	D1	7								
tissue__lung___Jackson_JX2_D1_01	265	tissue	lung	Jackson	JX2	D1	1	197	42	29	38	2.294466226	1.62324929	1.462397998	1.579783597
tissue__lung___Jackson_JX2_D1_02	266	tissue	lung	Jackson	JX2	D1	2	225	67	39	45	2.352182518	1.826074803	1.591064607	1.653212514
tissue__lung___Jackson_JX2_D1_03	267	tissue	lung	Jackson	JX2	D1	3	230	60	37	44	2.361727836	1.77815125	1.568201724	1.643452676
tissue__lung___Jackson_JX2_D1_04	268	tissue	lung	Jackson	JX2	D1	4	167	81	48	55	2.222716471	1.908485019	1.681241237	1.740362689
tissue__lung___Jackson_JX2_D1_05	269	tissue	lung	Jackson	JX2	D1	5	69	61	44	65	1.838849091	1.785329835	1.643452676	1.812913357
tissue__lung___Jackson_JX2_D1_06	270	tissue	lung	Jackson	JX2	D1	6	100	101	60	81	2	2.004321374	1.77815125	1.908485019
tissue__lung___Jackson_JX2_D1_07	271	tissue	lung	Jackson	JX2	D1	7	90	52	49	75	1.954242509	1.716003344	1.69019608	1.875061263
tissue__tongue_Jackson_JX2_D1_01	272	tissue	tongue	Jackson	JX2	D1	1	197	42	29	38	2.294466226	1.62324929	1.462397998	1.579783597
tissue__tongue_Jackson_JX2_D1_02	273	tissue	tongue	Jackson	JX2	D1	2	225	67	39	45	2.352182518	1.826074803	1.591064607	1.653212514
tissue__tongue_Jackson_JX2_D1_03	274	tissue	tongue	Jackson	JX2	D1	3	230	60	37	44	2.361727836	1.77815125	1.568201724	1.643452676
tissue__tongue_Jackson_JX2_D1_04	275	tissue	tongue	Jackson	JX2	D1	4	167	81	48	55	2.222716471	1.908485019	1.681241237	1.740362689
tissue__tongue_Jackson_JX2_D1_05	276	tissue	tongue	Jackson	JX2	D1	5	69	61	44	65	1.838849091	1.785329835	1.643452676	1.812913357
tissue__tongue_Jackson_JX2_D1_06	277	tissue	tongue	Jackson	JX2	D1	6	100	101	60	81	2	2.004321374	1.77815125	1.908485019
tissue__tongue_Jackson_JX2_D1_07	278	tissue	tongue	Jackson	JX2	D1	7	90	52	49	75	1.954242509	1.716003344	1.69019608	1.875061263
tissue__cecum__Jackson_JX2_D2_01	279	tissue	cecum	Jackson	JX2	D2	1	254	183	99	102	2.404833717	2.26245109	1.995635195	2.008600172
tissue__cecum__Jackson_JX2_D2_02	280	tissue	cecum	Jackson	JX2	D2	2	180	64	45	46	2.255272505	1.806179974	1.653212514	1.662757832
tissue__cecum__Jackson_JX2_D2_03	281	tissue	cecum	Jackson	JX2	D2	3	194	61	42	48	2.28780173	1.785329835	1.62324929	1.681241237
tissue__cecum__Jackson_JX2_D2_04	282	tissue	cecum	Jackson	JX2	D2	4	68	75	59	67	1.832508913	1.875061263	1.770852012	1.826074803
tissue__cecum__Jackson_JX2_D2_05	283	tissue	cecum	Jackson	JX2	D2	5	75	51	41	60	1.875061263	1.707570176	1.612783857	1.77815125
tissue__cecum__Jackson_JX2_D2_06	284	tissue	cecum	Jackson	JX2	D2	6	95	64	55	61	1.977723605	1.806179974	1.740362689	1.785329835
tissue__cecum__Jackson_JX2_D2_07	285	tissue	cecum	Jackson	JX2	D2	7	83	65	56	67	1.919078092	1.812913357	1.748188027	1.826074803
control_homog__Jackson_JX2_D2_08	286	control	homog	Jackson	JX2	D2	8								
tissue__lung___Jackson_JX2_D2_01	287	tissue	lung	Jackson	JX2	D2	1	254	183	99	102	2.404833717	2.26245109	1.995635195	2.008600172
tissue__lung___Jackson_JX2_D2_02	288	tissue	lung	Jackson	JX2	D2	2	180	64	45	46	2.255272505	1.806179974	1.653212514	1.662757832
tissue__lung___Jackson_JX2_D2_03	289	tissue	lung	Jackson	JX2	D2	3	194	61	42	48	2.28780173	1.785329835	1.62324929	1.681241237
tissue__lung___Jackson_JX2_D2_04	290	tissue	lung	Jackson	JX2	D2	4	68	75	59	67	1.832508913	1.875061263	1.770852012	1.826074803
tissue__lung___Jackson_JX2_D2_05	291	tissue	lung	Jackson	JX2	D2	5	75	51	41	60	1.875061263	1.707570176	1.612783857	1.77815125
tissue__lung___Jackson_JX2_D2_06	292	tissue	lung	Jackson	JX2	D2	6	95	64	55	61	1.977723605	1.806179974	1.740362689	1.785329835
tissue__lung___Jackson_JX2_D2_07	293	tissue	lung	Jackson	JX2	D2	7	83	65	56	67	1.919078092	1.812913357	1.748188027	1.826074803
tissue__tongue_Jackson_JX2_D2_01	294	tissue	tongue	Jackson	JX2	D2	1	254	183	99	102	2.404833717	2.26245109	1.995635195	2.008600172
tissue__tongue_Jackson_JX2_D2_02	295	tissue	tongue	Jackson	JX2	D2	2	180	64	45	46	2.255272505	1.806179974	1.653212514	1.662757832
tissue__tongue_Jackson_JX2_D2_03	296	tissue	tongue	Jackson	JX2	D2	3	194	61	42	48	2.28780173	1.785329835	1.62324929	1.681241237
tissue__tongue_Jackson_JX2_D2_04	297	tissue	tongue	Jackson	JX2	D2	4	68	75	59	67	1.832508913	1.875061263	1.770852012	1.826074803
tissue__tongue_Jackson_JX2_D2_05	298	tissue	tongue	Jackson	JX2	D2	5	75	51	41	60	1.875061263	1.707570176	1.612783857	1.77815125
tissue__tongue_Jackson_JX2_D2_06	299	tissue	tongue	Jackson	JX2	D2	6	95	64	55	61	1.977723605	1.806179974	1.740362689	1.785329835
tissue__tongue_Jackson_JX2_D2_07	300	tissue	tongue	Jackson	JX2	D2	7	83	65	56	67	1.919078092	1.812913357	1.748188027	1.826074803
tissue__cecum__Jackson_JX3_D1_01	301	tissue	cecum	Jackson	JX3	D1	1	138	42	27	38	2.139879086	1.62324929	1.431363764	1.579783597
tissue__cecum__Jackson_JX3_D1_02	302	tissue	cecum	Jackson	JX3	D1	2	133	66	35	44	2.123851641	1.819543936	1.544068044	1.643452676
tissue__cecum__Jackson_JX3_D1_03	303	tissue	cecum	Jackson	JX3	D1	3	134	83	50	53	2.127104798	1.919078092	1.698970004	1.72427587
tissue__cecum__Jackson_JX3_D1_04	304	tissue	cecum	Jackson	JX3	D1	4	84	50	42	62	1.924279286	1.698970004	1.62324929	1.792391689
tissue__cecum__Jackson_JX3_D1_05	305	tissue	cecum	Jackson	JX3	D1	5	72	63	55	73	1.857332496	1.799340549	1.740362689	1.86332286
tissue__cecum__Jackson_JX3_D1_06	306	tissue	cecum	Jackson	JX3	D1	6	61	41	24	49	1.785329835	1.612783857	1.380211242	1.69019608
tissue__cecum__Jackson_JX3_D1_07	307	tissue	cecum	Jackson	JX3	D1	7								
control_homog__Jackson_JX3_D1_09	308	control	homog	Jackson	JX3	D1	9								
tissue__lung___Jackson_JX3_D1_01	309	tissue	lung	Jackson	JX3	D1	1	138	42	27	38	2.139879086	1.62324929	1.431363764	1.579783597
tissue__lung___Jackson_JX3_D1_02	310	tissue	lung	Jackson	JX3	D1	2	133	66	35	44	2.123851641	1.819543936	1.544068044	1.643452676
tissue__lung___Jackson_JX3_D1_03	311	tissue	lung	Jackson	JX3	D1	3	134	83	50	53	2.127104798	1.919078092	1.698970004	1.72427587
tissue__lung___Jackson_JX3_D1_04	312	tissue	lung	Jackson	JX3	D1	4	84	50	42	62	1.924279286	1.698970004	1.62324929	1.792391689
tissue__lung___Jackson_JX3_D1_05	313	tissue	lung	Jackson	JX3	D1	5	72	63	55	73	1.857332496	1.799340549	1.740362689	1.86332286
tissue__lung___Jackson_JX3_D1_06	314	tissue	lung	Jackson	JX3	D1	6	61	41	24	49	1.785329835	1.612783857	1.380211242	1.69019608
tissue__lung___Jackson_JX3_D1_07	315	tissue	lung	Jackson	JX3	D1	7								
tissue__tongue_Jackson_JX3_D1_01	316	tissue	tongue	Jackson	JX3	D1	1	138	42	27	38	2.139879086	1.62324929	1.431363764	1.579783597
tissue__tongue_Jackson_JX3_D1_02	317	tissue	tongue	Jackson	JX3	D1	2	133	66	35	44	2.123851641	1.819543936	1.544068044	1.643452676
tissue__tongue_Jackson_JX3_D1_03	318	tissue	tongue	Jackson	JX3	D1	3	134	83	50	53	2.127104798	1.919078092	1.698970004	1.72427587
tissue__tongue_Jackson_JX3_D1_04	319	tissue	tongue	Jackson	JX3	D1	4	84	50	42	62	1.924279286	1.698970004	1.62324929	1.792391689
tissue__tongue_Jackson_JX3_D1_05	320	tissue	tongue	Jackson	JX3	D1	5	72	63	55	73	1.857332496	1.799340549	1.740362689	1.86332286
tissue__tongue_Jackson_JX3_D1_06	321	tissue	tongue	Jackson	JX3	D1	6	61	41	24	49	1.785329835	1.612783857	1.380211242	1.69019608
tissue__tongue_Jackson_JX3_D1_07	322	tissue	tongue	Jackson	JX3	D1	7								
tissue__cecum__Jackson_JX3_D2_01	323	tissue	cecum	Jackson	JX3	D2	1	193	177	120	133	2.285557309	2.247973266	2.079181246	2.123851641
tissue__cecum__Jackson_JX3_D2_02	324	tissue	cecum	Jackson	JX3	D2	2	176	93	50	72	2.245512668	1.968482949	1.698970004	1.857332496
tissue__cecum__Jackson_JX3_D2_03	325	tissue	cecum	Jackson	JX3	D2	3	132	76	47	61	2.120573931	1.880813592	1.672097858	1.785329835
tissue__cecum__Jackson_JX3_D2_04	326	tissue	cecum	Jackson	JX3	D2	4	96	57	46	67	1.982271233	1.755874856	1.662757832	1.826074803
tissue__cecum__Jackson_JX3_D2_05	327	tissue	cecum	Jackson	JX3	D2	5	106	109	57	91	2.025305865	2.037426498	1.755874856	1.959041392
tissue__cecum__Jackson_JX3_D2_06	328	tissue	cecum	Jackson	JX3	D2	6	95	86	50	77	1.977723605	1.934498451	1.698970004	1.886490725
tissue__cecum__Jackson_JX3_D2_07	329	tissue	cecum	Jackson	JX3	D2	7	93	72	54	76	1.968482949	1.857332496	1.73239376	1.880813592
control_homog__Jackson_JX3_D2_10	330	control	homog	Jackson	JX3	D2	10								
tissue__lung___Jackson_JX3_D2_01	331	tissue	lung	Jackson	JX3	D2	1	193	177	120	133	2.285557309	2.247973266	2.079181246	2.123851641
tissue__lung___Jackson_JX3_D2_02	332	tissue	lung	Jackson	JX3	D2	2	176	93	50	72	2.245512668	1.968482949	1.698970004	1.857332496
tissue__lung___Jackson_JX3_D2_03	333	tissue	lung	Jackson	JX3	D2	3	132	76	47	61	2.120573931	1.880813592	1.672097858	1.785329835
tissue__lung___Jackson_JX3_D2_04	334	tissue	lung	Jackson	JX3	D2	4	96	57	46	67	1.982271233	1.755874856	1.662757832	1.826074803
tissue__lung___Jackson_JX3_D2_05	335	tissue	lung	Jackson	JX3	D2	5	106	109	57	91	2.025305865	2.037426498	1.755874856	1.959041392
tissue__lung___Jackson_JX3_D2_06	336	tissue	lung	Jackson	JX3	D2	6	95	86	50	77	1.977723605	1.934498451	1.698970004	1.886490725
tissue__lung___Jackson_JX3_D2_07	337	tissue	lung	Jackson	JX3	D2	7	93	72	54	76	1.968482949	1.857332496	1.73239376	1.880813592
tissue__tongue_Jackson_JX3_D2_01	338	tissue	tongue	Jackson	JX3	D2	1	193	177	120	133	2.285557309	2.247973266	2.079181246	2.123851641
tissue__tongue_Jackson_JX3_D2_02	339	tissue	tongue	Jackson	JX3	D2	2	176	93	50	72	2.245512668	1.968482949	1.698970004	1.857332496
tissue__tongue_Jackson_JX3_D2_03	340	tissue	tongue	Jackson	JX3	D2	3	132	76	47	61	2.120573931	1.880813592	1.672097858	1.785329835
tissue__tongue_Jackson_JX3_D2_04	341	tissue	tongue	Jackson	JX3	D2	4	96	57	46	67	1.982271233	1.755874856	1.662757832	1.826074803
tissue__tongue_Jackson_JX3_D2_05	342	tissue	tongue	Jackson	JX3	D2	5	106	109	57	91	2.025305865	2.037426498	1.755874856	1.959041392
tissue__tongue_Jackson_JX3_D2_06	343	tissue	tongue	Jackson	JX3	D2	6	95	86	50	77	1.977723605	1.934498451	1.698970004	1.886490725
tissue__tongue_Jackson_JX3_D2_07	344	tissue	tongue	Jackson	JX3	D2	7	93	72	54	76	1.968482949	1.857332496	1.73239376	1.880813592
mock____mock___XXXXXXX_XXX_XX_01	345	mock	mock	XXXXXXX	XXX	XX	1								
mock____mock___XXXXXXX_XXX_XX_02	346	mock	mock	XXXXXXX	XXX	XX	2								
mock____mock___XXXXXXX_XXX_XX_03	347	mock	mock	XXXXXXX	XXX	XX	3								
mock____mock___XXXXXXX_XXX_XX_04	348	mock	mock	XXXXXXX	XXX	XX	4								
control_water__XXXXXXX_XXX_XX_01	349	control	water	XXXXXXX	XXX	XX	1								
control_water__XXXXXXX_XXX_XX_02	350	control	water	XXXXXXX	XXX	XX	2								
control_water__XXXXXXX_XXX_XX_03	351	control	water	XXXXXXX	XXX	XX	3								
control_water__XXXXXXX_XXX_XX_04	352	control	water	XXXXXXX	XXX	XX	4								
